,name,min,max,avg,len
0,il_2017,15800.0,142800.0,,4766
0,il_2018,17100.0,134900.0,,4766
0,il_2019,18300.0,144300.0,,4766
0,il_2020,18200.0,143400.0,70912.92488459924,4766
0,il_2021,20200.0,151800.0,,4766
0,il_2022,21600.0,180900.0,,4766
0,fmr_2017,323.0,1915.0,,4766
0,fmr_2018,310.0,2014.0,,4766
0,fmr_2019,334.0,1865.0,,4766
0,fmr_2020,327.0,2197.0,673.8596595861361,4766
0,fmr_2021,319.0,2350.0,,4766
0,fmr_2022,356.0,2145.0,,4766
0,ratio_2017,0.05615625,0.2711392405063291,,4766
0,ratio_2018,0.0602015677491601,0.2598963730569948,,4766
0,ratio_2019,0.0596847635726795,0.2490376569037657,,4766
0,ratio_2020,0.0587858347386172,0.2764748201438849,0.11512654416398546,4766
0,ratio_2021,0.0616822429906542,0.2585067319461444,,4766
0,ratio_2022,0.0555834829443447,0.2562539682539682,,4766
0,slope,-0.0014879459477732,0.0016708464418019,-0.00012873312588675148,4766
