,code
0,0201399999
1,0201699999
2,0202099999
3,0205099999
4,0206099999
5,0206899999
6,0207099999
7,0209099999
8,0210099999
9,0210599999
10,0211099999
11,0212299999
12,0213099999
13,0215099999
14,0215899999
15,0216499999
16,0217099999
17,0218099999
18,0218599999
19,0218899999
20,0219599999
21,0219899999
22,0222099999
23,0223099999
24,0224099999
25,0226199999
26,0227599999
27,0228299999
28,0229099999
29,0100199999
30,0100399999
31,0100599999
32,0100799999
33,0100999999
34,0101199999
35,0101399999
36,0101599999
37,0101799999
38,0101999999
39,0102199999
40,0102399999
41,0102599999
42,0102799999
43,0102999999
44,0103199999
45,0103399999
46,0103599999
47,0103799999
48,0103999999
49,0104199999
50,0104399999
51,0104599999
52,0104799999
53,0104999999
54,0105199999
55,0105399999
56,0105599999
57,0105799999
58,0105999999
59,0106199999
60,0106399999
61,0106599999
62,0106799999
63,0106999999
64,0107199999
65,0107399999
66,0107599999
67,0107799999
68,0107999999
69,0108199999
70,0108399999
71,0108599999
72,0108799999
73,0108999999
74,0109199999
75,0109399999
76,0109599999
77,0109799999
78,0109999999
79,0110199999
80,0110399999
81,0110599999
82,0110799999
83,0110999999
84,0111199999
85,0111399999
86,0111799999
87,0111599999
88,0111999999
89,0112199999
90,0112399999
91,0112599999
92,0112799999
93,0112999999
94,0113199999
95,0113399999
96,0500199999
97,0500399999
98,0500599999
99,0500799999
100,0500999999
101,0501199999
102,0501399999
103,0501599999
104,0501799999
105,0501999999
106,0502199999
107,0502399999
108,0502599999
109,0502799999
110,0502999999
111,0503199999
112,0503399999
113,0503599999
114,0503799999
115,0503999999
116,0504199999
117,0504399999
118,0504599999
119,0504799999
120,0504999999
121,0505199999
122,0505399999
123,0505599999
124,0505799999
125,0505999999
126,0506199999
127,0506399999
128,0506599999
129,0506799999
130,0506999999
131,0507199999
132,0507399999
133,0507599999
134,0507799999
135,0507999999
136,0508199999
137,0508399999
138,0508599999
139,0508799999
140,0508999999
141,0509199999
142,0509399999
143,0509599999
144,0509799999
145,0509999999
146,0510199999
147,0510399999
148,0510599999
149,0510799999
150,0510999999
151,0511199999
152,0511399999
153,0511599999
154,0511799999
155,0511999999
156,0512199999
157,0512599999
158,0512799999
159,0512999999
160,0513199999
161,0513399999
162,0513599999
163,0512399999
164,0513799999
165,0513999999
166,0514199999
167,0514399999
168,0514599999
169,0514799999
170,0514999999
171,6099999999
172,0400199999
173,0400399999
174,0400599999
175,0400799999
176,0400999999
177,0401199999
178,0401299999
179,0401399999
180,0401599999
181,0401799999
182,0401999999
183,0402199999
184,0402399999
185,0402599999
186,0402799999
187,0600199999
188,0600399999
189,0600599999
190,0600799999
191,0600999999
192,0601199999
193,0601399999
194,0601599999
195,0601799999
196,0601999999
197,0602199999
198,0602399999
199,0602599999
200,0602799999
201,0602999999
202,0603199999
203,0603399999
204,0603599999
205,0603799999
206,0603999999
207,0604199999
208,0604399999
209,0604599999
210,0604799999
211,0604999999
212,0605199999
213,0605399999
214,0605599999
215,0605799999
216,0605999999
217,0606199999
218,0606399999
219,0606599999
220,0606799999
221,0606999999
222,0607199999
223,0607399999
224,0607599999
225,0607799999
226,0607999999
227,0608199999
228,0608399999
229,0608599999
230,0608799999
231,0608999999
232,0609199999
233,0609399999
234,0609599999
235,0609799999
236,0609999999
237,0610199999
238,0610399999
239,0610599999
240,0610799999
241,0610999999
242,0611199999
243,0611399999
244,0611599999
245,0800199999
246,0800399999
247,0800599999
248,0800799999
249,0800999999
250,0801199999
251,0801399999
252,0801499999
253,0801599999
254,0801799999
255,0801999999
256,0802199999
257,0802399999
258,0802599999
259,0802799999
260,0802999999
261,0803199999
262,0803399999
263,0803599999
264,0803799999
265,0804199999
266,0803999999
267,0804399999
268,0804599999
269,0804799999
270,0804999999
271,0805199999
272,0805399999
273,0805599999
274,0805799999
275,0805999999
276,0806199999
277,0806399999
278,0806799999
279,0806599999
280,0806999999
281,0807199999
282,0807399999
283,0807599999
284,0807799999
285,0807999999
286,0808199999
287,0808399999
288,0808599999
289,0808799999
290,0808999999
291,0809199999
292,0809399999
293,0809599999
294,0809799999
295,0809999999
296,0810199999
297,0810399999
298,0810599999
299,0810799999
300,0810999999
301,0811199999
302,0811399999
303,0811599999
304,0811799999
305,0811999999
306,0812199999
307,0812399999
308,0812599999
309,0901301080
310,0900901220
311,0901501430
312,0900302060
313,0900502760
314,0900903250
315,0900304300
316,0900904580
317,0900104720
318,0900504930
319,0900305910
320,0901306260
321,0901106820
322,0900907310
323,0900108070
324,0900508210
325,0900308490
326,0900108980
327,0901509190
328,0900310100
329,0900510940
330,0901512130
331,0900312270
332,0901513810
333,0900914160
334,0900714300
335,0900715350
336,0901115910
337,0900516050
338,0901316400
339,0900517240
340,0901317800
341,0900718080
342,0900118500
343,0900118850
344,0900719130
345,0900919550
346,0900720810
347,0900322070
348,0900722280
349,0900722490
350,0900322630
351,0900922910
352,0901123400
353,0900324800
354,0901521860
355,0900123890
356,0901325360
357,0900325990
358,0900726270
359,0900126620
360,0900327600
361,0901129910
362,0900331240
363,0900532290
364,0900332640
365,0900133620
366,0901133900
367,0901134250
368,0900934950
369,0900735230
370,0900935650
371,0901536000
372,0900337070
373,0900337140
374,0900537280
375,0901337910
376,0900540290
377,0901540500
378,0900740710
379,0901142390
380,0901142600
381,0901143230
382,0900543370
383,0901144210
384,0900944560
385,0900344700
386,0901344910
387,0900345820
388,0900946520
389,0900946940
390,0900747080
391,0900747360
392,0900947535
393,0900148620
394,0901148900
395,0900549460
396,0900949950
397,0900350440
398,0900150580
399,0900150860
400,0900551350
401,0900952070
402,0901152350
403,0900552630
404,0900352140
405,0900152980
406,0900553470
407,0900953890
408,0900554030
409,0900954870
410,0901155500
411,0900156060
412,0901156270
413,0901157040
414,0900757320
415,0900957600
416,0900958300
417,0901559980
418,0900360120
419,0900560750
420,0901561030
421,0900761800
422,0901162150
423,0900962290
424,0901562710
425,0900163480
426,0900163970
427,0900365370
428,0900565930
429,0901166210
430,0900566420
431,0901567400
432,0900967610
433,0900567960
434,0900168170
435,0900168310
436,0900368940
437,0901369220
438,0900371390
439,0900969640
440,0900370550
441,0901171670
442,0901372090
443,0900173070
444,0901573420
445,0901173770
446,0900174190
447,0900374540
448,0900575730
449,0901575870
450,0901376290
451,0900576570
452,0900177200
453,0901377830
454,0901378250
455,0901178600
456,0900978740
457,0900579510
458,0900579720
459,0900980070
460,0901180280
461,0900580490
462,0900382590
463,0900982870
464,0900781680
465,0900183430
466,0900183500
467,0900384900
468,0901385950
469,0900186370
470,0900586440
471,0901586790
472,0900387070
473,0900387000
474,0900987560
475,0900987700
476,0900587910
477,0901588190
478,1100199999
479,1000199999
480,1000399999
481,1000599999
482,1200199999
483,1200399999
484,1200599999
485,1200799999
486,1200999999
487,1201199999
488,1201399999
489,1201599999
490,1201799999
491,1201999999
492,1202199999
493,1202399999
494,1202799999
495,1202999999
